CASE_NO,DateTime,ACCD_TP,Year,Longitude,Latitude,City,District,Village
C7149889,1921/20/91 01:04:00,3,102,121.512769,25.05654,Taipei City,Datong District,Chauyang Vil.
CG140935,1921/21/00 31:01:00,3,102,121.567412,25.067665,Taipei City,Songshan District,Zhuangjing Vil.
C8145494,1921/21/11 41:84:00,3,102,121.540476,25.039901,Taipei City,Da an District,Yicun Vil.
CE111087,1921/20/50 21:94:00,2,102,121.551951,24.990602,Taipei City,Wenshan District,Huaxing Vil.
CB125601,1921/20/21 30:85:00,2,102,121.564353,25.052037,Taipei City,Songshan District,Anping Vil.
CC135491,1921/20/10 31:10:00,3,102,121.535493,25.098898,Taipei City,Shilin District,Fuzhi Vil.
C9117993,1921/20/12 61:65:00,3,102,121.507982,25.049769,Taipei City,Datong District,Yuquan Vil.
C7147348,1921/20/62 11:10:00,2,102,121.534566,25.049171,Taipei City,Zhongshan District,Zhuyuan Vil.
CC133478,1921/21/01 60:74:00,2,102,121.541882,25.115032,Taipei City,Shilin District,Dongshan Vil.
CC132481,1921/20/12 31:04:00,2,102,121.516675,25.105853,Taipei City,Beitou District,Jianmin Vil.
C8139295,1921/20/51 42:05:00,2,102,121.535514,25.040023,Taipei City,Da an District,Minhui Vil.
C7150200,1921/20/92 31:23:00,3,102,121.524855,25.056677,Taipei City,Zhongshan District,Zhongshan Vil.
C6115928,1921/20/82 80:64:00,2,102,121.486112,25.03723,Taipei City,Wanhua District,Liuxiang Vil.
C7146869,1921/20/61 91:34:00,3,102,121.514956,25.062257,Taipei City,Datong District,Minquan Vil.
CH112419,1921/20/40 92:30:00,2,102,121.599419,25.05533,Taipei City,Nangang District,Dongxin Vil.
C7143570,1921/20/22 11:53:00,2,102,121.524791,25.047279,Taipei City,Zhongzheng District,Meihua Vil.
C5127322,1921/20/72 51:63:00,3,102,121.511055,25.052273,Taipei City,Datong District,Yongle Vil.
CH112033,1921/20/10 21:81:00,2,102,121.597687,25.053833,Taipei City,Nangang District,Dongming Vil.
CE111919,1921/20/52 61:13:00,3,102,121.568552,25.001987,Taipei City,Wenshan District,Wanfang Vil.
CG138345,1921/20/21 90:84:00,3,102,121.566158,25.078448,Taipei City,Neihu District,Xihu Vil.
C7141826,1921/20/10 90:65:00,2,102,121.525086,25.066626,Taipei City,Zhongshan District,Qingguang Vil.
CB133861,1921/21/22 51:71:00,3,102,121.544616,25.055645,Taipei City,Songshan District,Songji Vil.
CC135316,1921/20/11 42:00:00,2,102,121.518395,25.102205,Taipei City,Shilin District,Dehua Vil.
CF111084,1921/21/01 52:22:00,3,102,121.538792,25.001505,Taipei City,Wenshan District,Wanlong Vil.
C7145577,1921/20/42 70:04:00,3,102,121.517277,25.060033,Taipei City,Datong District,Shuanglian Vil.
C7145771,1921/20/52 81:84:00,3,102,121.524533,25.047584,Taipei City,Zhongzheng District,Meihua Vil.
C5121630,1921/20/41 22:03:00,3,102,121.511153,25.070312,Taipei City,Datong District,Linjiang Vil.
CB128741,1921/20/60 70:91:00,3,102,121.542892,25.055243,Taipei City,Zhongshan District,Longzhou Vil.
CI130273,1921/20/91 01:73:00,2,102,121.566931,25.036815,Taipei City,Xinyi District,Xicun Vil.
CG143923,1921/21/10 41:80:00,2,102,121.592239,25.068753,Taipei City,Neihu District,Bao Hu Vil.
C8149050,1921/20/92 01:53:00,3,102,121.548408,25.037306,Taipei City,Da an District,De an Vil.
C8141828,1921/20/60 81:21:00,3,102,121.54074,25.04823,Taipei City,Zhongshan District,Zhulun Vil.
CG135783,1921/20/30 10:63:00,2,102,121.564248,25.08569,Taipei City,Neihu District,Xikang Vil.
CH112639,1921/20/40 80:83:00,2,102,121.57995,25.050988,Taipei City,Nangang District,Yucheng Vil.
CC138496,1921/20/60 32:23:00,3,102,121.530752,25.118115,Taipei City,Shilin District,Tianfu Vil.
CG143733,1921/21/21 31:93:00,2,102,121.56438,25.066795,Taipei City,Songshan District,Jingzhong Vil.
CA110580,1921/20/50 82:00:00,2,102,121.523099,25.017575,Taipei City,Zhongzheng District,Linxing Vil.
CD129703,1921/20/81 40:82:00,2,102,121.508171,25.109531,Taipei City,Beitou District,Fuxing Vil.
CB131254,1921/21/02 01:31:00,2,102,121.548608,25.053345,Taipei City,Songshan District,Zhongzheng Vil.
CG138180,1921/20/22 01:64:00,2,102,121.584774,25.086708,Taipei City,Neihu District,Jinrui Vil.
C5131145,1921/21/20 80:03:00,2,102,121.507686,25.064733,Taipei City,Datong District,
CG141159,1921/20/72 62:23:00,2,102,121.556289,25.086391,Taipei City,Zhongshan District,Bei an Vil.
C8139793,1921/20/41 31:00:00,2,102,121.535416,25.039802,Taipei City,Da an District,Minhui Vil.
CI132045,1921/21/20 10:63:00,2,102,121.549414,25.041247,Taipei City,Da an District,Jianlun Vil.
C8141089,1921/20/10 21:71:00,3,102,121.534804,25.041716,Taipei City,Da an District,Minhui Vil.
CC121632,1921/20/42 80:24:00,2,102,121.529602,25.10688,Taipei City,Shilin District,Zhongcheng Vil.
C8135728,1921/20/41 01:60:00,2,102,121.539877,25.03828,Taipei City,Da an District,Yicun Vil.
C5126625,1921/20/70 31:11:00,2,102,121.51187,25.077104,Taipei City,Datong District,Laushi Vil.
CG140907,1921/20/82 71:74:00,3,102,121.604091,25.071978,Taipei City,Neihu District,Jin Hu Vil.
C5103211,1921/20/32 31:22:00,3,102,121.507325,25.064709,Taipei City,Datong District,
C7151229,1921/21/12 00:82:00,3,102,121.530497,25.064159,Taipei City,Zhongshan District,Xinfu Vil.
C7145215,1921/20/31 81:00:00,3,102,121.530042,25.047472,Taipei City,Zhongshan District,Zhengshou Vil.
CB133772,1921/21/20 12:00:00,3,102,121.548114,25.047425,Taipei City,Songshan District,Fucheng Vil.
CE111343,1921/20/41 91:74:00,2,102,121.542241,24.989436,Taipei City,Wenshan District,Jingxing Vil.
CD114312,1921/20/72 32:10:00,2,102,121.47889,25.140177,Taipei City,Beitou District,Tauyuan Vil.
CG142817,1921/21/01 91:30:00,2,102,121.583417,25.087145,Taipei City,Neihu District,Jinrui Vil.
C5127583,1921/20/81 01:93:00,2,102,121.508744,25.059018,Taipei City,Datong District,Dayou Vil.
CD127721,1921/20/91 42:30:00,3,102,121.497877,25.135615,Taipei City,Beitou District,Datong Vil.
C7141785,1921/20/10 41:85:00,3,102,121.513184,25.051355,Taipei City,Datong District,Jiangong Vil.
CA112226,1921/20/11 61:44:00,2,102,121.53556,25.040011,Taipei City,Da an District,Minhui Vil.
CG141449,1921/20/80 51:73:00,2,102,121.555719,25.088411,Taipei City,Neihu District,Xikang Vil.
CG136065,1921/20/10 61:43:00,3,102,121.569148,25.081474,Taipei City,Neihu District,Xihu Vil.
C9119906,1921/20/80 70:90:00,2,102,121.524414,25.040675,Taipei City,Zhongzheng District,Dongmen Vil.
CB128786,1921/20/83 00:84:00,2,102,121.54623,25.059623,Taipei City,Songshan District,Minyou Vil.
C8142155,1921/20/53 02:04:00,3,102,121.543336,25.025431,Taipei City,Da an District,Longsheng Vil.
C8140142,1921/20/61 91:11:00,3,102,121.54067,25.035067,Taipei City,Da an District,He an Vil.
CC133259,1921/20/72 41:14:00,3,102,121.50372,25.086222,Taipei City,Shilin District,Shexin Vil.
C9117900,1921/20/12 51:53:00,2,102,121.506747,25.047839,Taipei City,Wanhua District,Fuxing Vil.
CC136484,1921/20/40 61:41:00,3,102,121.538306,25.100056,Taipei City,Shilin District,Yanshan Vil.
C8136857,1921/20/20 11:82:00,3,102,121.540119,25.02237,Taipei City,Da an District,Longyuan Vil.
C9114936,1921/20/82 00:83:00,3,102,121.508163,25.048412,Taipei City,Wanhua District,Fuxing Vil.
CC140581,1921/21/00 50:91:00,3,102,121.526373,25.120182,Taipei City,Shilin District,Tianyu Vil.
CC143743,1921/21/21 81:51:00,2,102,121.535635,25.137738,Taipei City,Shilin District,Tianmu Vil.
CH112075,1921/20/11 40:81:00,3,102,121.574917,25.045739,Taipei City,Xinyi District,Wuchang Vil.
C7151885,1921/21/11 81:40:00,2,102,121.535714,25.061117,Taipei City,Zhongshan District,Songjiang Vil.
C6114511,1921/20/11 50:73:00,2,102,121.488828,25.040369,Taipei City,Wanhua District,Liuxiang Vil.
C7145792,1921/20/51 72:22:00,3,102,121.536127,25.063887,Taipei City,Zhongshan District,Xingzheng Vil.
CG136845,1921/20/10 30:82:00,3,102,121.562356,25.08291,Taipei City,Neihu District,Xikang Vil.
C7152363,1921/21/20 72:12:00,2,102,121.517304,25.059393,Taipei City,Datong District,Shuanglian Vil.
CC141147,1921/21/12 71:84:00,3,102,121.521537,25.111352,Taipei City,Beitou District,Ronghua Vil.
CI130460,1921/21/00 40:81:00,2,102,121.551287,25.032495,Taipei City,Da an District,Yi an Vil.
CD114206,1921/20/62 51:00:00,3,102,121.514911,25.113718,Taipei City,Beitou District,Rongguang Vil.
CI105422,1921/20/11 71:22:00,2,102,121.558257,25.040915,Taipei City,Xinyi District,Xinglong Vil.
CD122930,1921/20/42 01:65:00,2,102,121.490336,25.12762,Taipei City,Beitou District,Datong Vil.
CD117124,1921/20/80 50:85:00,2,102,121.494417,25.134923,Taipei City,Beitou District,Fengnian Vil.
C7146906,1921/20/60 91:65:00,2,102,121.537392,25.08779,Taipei City,Zhongshan District,Jiantan Vil.
C7145276,1921/20/40 31:84:00,3,102,121.516456,25.051046,Taipei City,Datong District,Jiantai Vil.
C7150098,1921/21/00 11:02:00,2,102,121.517321,25.059362,Taipei City,Datong District,Shuanglian Vil.
CE111346,1921/20/42 11:04:00,2,102,121.54882,24.985489,Taipei City,Wenshan District,Shiyuan Vil.
C9115047,1921/21/00 91:62:00,3,102,121.512133,25.049057,Taipei City,Zhongzheng District,Guangfu Vil.
C8142055,1921/20/62 22:01:00,3,102,121.520533,25.033107,Taipei City,Zhongzheng District,Xinying Vil.
CF108356,1921/20/80 50:74:00,2,102,121.533034,24.99685,Taipei City,Wenshan District,Jingqing Vil.
CC141447,1921/21/01 62:20:00,2,102,121.516687,25.105849,Taipei City,Beitou District,Jianmin Vil.
C8149536,1921/21/21 22:14:00,2,102,121.540227,25.024457,Taipei City,Da an District,Longyuan Vil.
CC136068,1921/20/21 71:90:00,2,102,121.523662,25.119006,Taipei City,Beitou District,Yongxin Vil.
CB131059,1921/20/93 01:81:00,3,102,121.541286,25.053566,Taipei City,Zhongshan District,Fuhua Vil.
